@index@position@year@title@artist@lyric@decade
0@0@1@1970@Bridge Over Troubled Water@Simon and Garfunkel@Feeling small When tears are in your eyes I will dry them all I'm on your side When times get rough And friends just can't be found Like a bridge over troubled water I will lay me down Like a bridge over troubled water I will lay me down When you're down and out When you're on the street When evening falls so hard I will comfort you I'll take your part When darkness comes And pain is all around Like a bridge over troubled water I will lay me down Like a bridge over troubled water I will lay me down Sail on, Silver Girl Sail on by Your time has come to shine All your dreams are on their way See how they shine If you need a friend I'm sailing right behind Like a bridge over troubled water I will ease your mind Like a bridge over troubled water I will ease your mind@1970
1@1@2@1970@(They Long To Be) Close To You@Carpenters@Everytime you are near? Just like me they long to be Close to you Why do stars fall down from the sky Everytime you walk by? Just like me they long to be Close to you On the day that you were born The angels got together And decided to create a dream come true So they sprinkled moondust in your hair of gold And starlight in your eyes of blue That is why all the girls in town (Girls in town) Follow you (Follow you) all around (all around) Just like me they long to be Close to you On the day that you were born The angels got together And decided to create a dream come true So they sprinkled moondust in your hair of gold And starlight in your eyes of blue That is why all the girls in town (Girls in town) Follow you (Follow you) all around (all around) Just like me they long to be Close to you Just like me (Just like me) they long to be Close to you Close to you Close to you Close to you Close to you Close to you Close to you Close to you@1970
2@2@3@1970@American Woman / No Sugar Tonight@Guess Who@no lyrics@1970
3@3@4@1970@Raindrops Keep Fallin' On My Head@B.J. Thomas@And just like the guy whose feet are too big for his bed Nothing seems to fit Those raindrops are falling on my head, they keep falling So I just did me some talking to the sun And I said I didn't like the way he got things done He's sleeping on the job Those raindrops are falling on my head, they keep fallin' But there's one thing I know The blues they send to meet me Won't defeat me It won't be long 'till happiness steps up to greet me Raindrops keep falling on my head But that doesn't mean my eyes will soon be turning red Crying's not for me 'Cause, I'm never gonna stop the rain by complaining Because I'm free Nothing's worrying me It won't be long 'till happiness steps up to greet me Raindrops keep falling on my head But that doesn't mean my eyes will soon be turning red Crying's not for me, 'cause, I'm never gonna stop the rain by complaining Because I'm free Nothing's worrying me@1970
4@4@5@1970@War@Edwin Starr@What is it good for? Absolutely nothing, uh-huh, uh-huh War, huh, yeah What is it good for? Absolutely nothing, say it again, y'all War, huh, good god What is it good for? Absolutely nothing, listen to me Oh war, I despise 'Cause it means destruction of innocent lives War means tears to thousands of mothers' eyes When their sons go off to fight and lose their lives I said, war, huh, good god, y'all What is it good for? Absolutely nothing, say it again War, huh, whoa-oh-whoa-oh, Lord What is it good for? Absolutely nothing, listen to me War, it ain't nothing but a heartbreak War, friend only to the undertaker Oh, war, is an enemy to all mankind The thought of war blows my mind War has caused unrest within the younger generation Induction then destruction, who wants to die? Oh, war, huh, good god, y'all What is it good for? Absolutely nothing, say it, say it, say it War, huh, uh-huh, yeah, uh What is it good for? Absolutely nothing, listen to me War, it ain't nothing but a heartbreaker War, it got one friend, that's the undertaker Oh, war has shattered many a young man's dreams Made him disabled, bitter and mean Life is much too short and precious to spend fighting wars these days War can't give life, it can only take it away Oh, war, huh, good god, y'all What is it good for? Absolutely nothing, say it again War, huh, whoa-oh-whoa-oh, Lord What is it good for? Absolutely nothing, listen to me War, it ain't nothing but a heartbreaker War, friend only to the undertaker Peace, love and understanding, tell me Is there no place for them today? They say we must fight to keep our freedom But lord knows there's got to be a better way Oh, war, huh, good god, y'all What is it good for? You tell me, (nothing) say it, say it, say it, say it War, huh, good god, yeah, huh What is it good for? Stand up and shout it (nothing)@1970
5@5@6@1970@Ain't No Mountain High Enough@Diana Ross@ August 26, 2007Ooh, ooh Ah, ah, ah Ooh, ooh If you need me, call me No matter where you are No matter how far Just call my name I'll be there in a hurry On that you can depend and never worry You see, my love is alive It's like a seed that only needs The thought of you to grow So if you feel the need for company Please, my darling Let it be me Ah, ah, ah Ooh, ooh I may not be able to express The depth of the love I feel for you But a writer put it very nicely When he was away from the one he loved He sat down and wrote these words Ah, ah, ah Ooh, ooh I know, I know you must follow the sun Where ever it leads But remember, if you should fall short of your desires Remember life's holds to you one guarantee You'll always have me And if you should miss my lovin' One of these old days If you should ever miss the arms that used to hold you so close Or the lips that used to touch yours so tenderly Just remember what I told you the day I set you free To keep me from you To keep me from you Ain't no mountain high enough Nothing can keep me, keep me from you Ain't no mountain high enough Nothing can keep me, keep me from you Ain't no mountain high enough Ain't no valley low enough Ain't no river wide enough To keep me from you Ain't no mountain high enough Nothing can keep me, keep me from you Nothing in this world Nothing in this world to keep me from you@1970
6@6@7@1970@I'll Be There@Jackson 5@We must bring salvation back Where there is love I'll be there (I'll be there) I'll reach out my hand to you I'll have faith in all you do Just call my name And I'll be there (I'll be there) And oh I'll be there to comfort you Build my world of dreams around you I'm so glad that I found you I'll be there with a love that's strong I'll be your strength I'll keep holding on (holding on, holding on, holding on) Yes I will, yes I will Let me fill your heart with joy and laughter Togetherness, girl, is all I'm after Whenever you need me I'll be there (I'll be there) I'll be there to protect you (yeah, baby) With an unselfish love that respects you Just call my name And I'll be there (I'll be there) And oh I'll be there to comfort you Build my world of dreams around you I'm so glad that I found you I'll be there with a love that's strong I'll be your strength I'll keep holding on, ooh Yes I will, yes I will (holding on, holding on) If you should ever find someone new I know he'd better be good to you 'Cause if he doesn't I'll be there (I'll be there) Don't you know, baby, yeah, yeah I'll be there I'll be there Just call my name (I'll be there) I'll be there Just look over your shoulders, honey, ooh I'll be there I'll be there Whenever you need me (I'll be there) I'll be there Don't you know, baby, yeah, yeah I'll be there I'll be there Just call my name (and I'll be there) I'll be there Ooh, ooh, ooh, ooh I'll be there I'll be there@1970
7@7@8@1970@Get Ready@Rare Earth@Whenever I'm asked what makes my dreams real, I tell 'em you do Well, tweedlee dee, tweedlee dum, look out, baby, 'cause here I come I'm bringin' you a love that's true, get ready Start makin' love to you, get ready Oh, don't you know I'm coming On my way You wanna play hide and seek with love, let me remind ya Lovin' you're gonna miss and the time it takes to find ya Well, fe fi fo fo fum, look out, baby, now, here I come I'm bringin' you a love that's true, aw, get ready Start makin' love to you, get ready Don't you know I'm comin', on my way If all my friends shouldn't want me to, I think I'll understand Hope I get to you before they do, 'cause that's how I planned it Well, tweedlee dee, now, tweedlee dum, look out, baby, now, here I come I'm bringin' you a love that's true, get ready I'll start makin' love to you, get ready Don't you know I'm coming On my way@1970
8@8@9@1970@Let It Be@Beatles@Mother Mary comes to me Speaking words of wisdom Let it be And in my hour of darkness She is standing right in front of me Speaking words of wisdom Let it be A-let it be, let it be Whisper words of wisdom Let it be And when the broken-hearted people Living in the world agree There will be an answer Let it be For though they may be parted There is still a chance that they will see There will be an answer Let it be Let it be, let it be Let it be, let it be Yeah, there will be an answer Let it be Let it be, let it be A-let it be, let it be Whisper words of wisdom Let it be Let it be, let it be A-let it be, yeah, let it be Whisper words of wisdom Let it be And when the night is cloudy There is still a light that shines on me Shine until tomorrow Let it be I wake up to the sound of music Mother Mary comes to me Speaking words of wisdom Let it be Yeah, let it be, let it be Let it be, yeah, let it be Oh, there will be an answer Let it be Let it be, let it be Let it be, yeah, let it be Oh, there will be an answer Let it be Let it be, let it be Let it be, yeah, let it be Whisper words of wisdom Let it be@1970
9@9@10@1970@Band Of Gold@Freda Payne@All that's left is a band of gold All that's left of the dreams I hold Is a band of gold And the memories of what love could be If you were still here with me You took me from the shelter of my mother I had never known or loved any other We kissed after taking vows But that night on our honeymoon We stayed in separate rooms I wait in the darkness of my lonely room Filled with sadness, filled with gloom Hoping soon That you'll walk back through that door And love me like you tried before Since you've been gone All that's left is a band of gold All that's left of the dreams I hold Is a band of gold And the dream of what love could be If you were still here with me Ohh Don't you know that I wait In the darkness of my lonely room Filled with sadness, filled with gloom Hoping soon That you'll walk back through that door And love me like you tried before Since you've been gone All that's left is a band of gold All that's left of the dreams I hold Is a band of gold And the dream of what love could be If you were still here with me Since you've been gone All that's left is a band of gold@1970
