@index@position@year@title@artist@lyric@decade
0@0@1@1974@The Way We Were@Barbra Streisand@Light the corners of my mind Misty watercolor memories Of the way we were Scattered pictures Of the smiles we left behind Smiles we gave to one another For the way we were Can it be that it was all so simple then Or has time rewritten every line? If we had the chance to do it all again Tell me, would we? Could we? Memories May be beautiful and yet What's too painful to remember We simply to choose to forget So it's the laughter We will remember Whenever we remember The way we were The way we were@1970
1@1@2@1974@Seasons In The Sun@Terry Jacks@We've known each other since we were nine or ten Together we've climbed hills and trees Learned of love and ABCs Skinned our hearts and skinned our knees Goodbye my friend, it's hard to die When all the birds are singing in the sky Now that the spring is in the air Pretty girls are everywhere Think of me and I'll be there We had joy, we had fun We had seasons in the sun But the hills that we climbed Were just seasons out of time Goodbye papa, please pray for me I was the black sheep of the family You tried to teach me right from wrong Too much wine and too much song Wonder how I got along Goodbye papa, it's hard to die When all the birds are singing in the sky Now that the spring is in the air Little children everywhere When you see them, I'll be there We had joy, we had fun We had seasons in the sun But the wine and the song Like the seasons, have all gone We had joy, we had fun We had seasons in the sun But the wine and the song Like the seasons, have all gone Goodbye Michelle, my little one You gave me love and helped me find the sun And every time that I was down You would always come around And get my feet back on the ground Goodbye Michelle, it's hard to die When all the birds are singing in the sky Now that the spring is in the air With the flowers everywhere I wish that we could both be there We had joy, we had fun We had seasons in the sun But the stars we could reach Were just starfish on the beach We had joy, we had fun We had seasons in the sun But the stars we could reach Were just starfish on the beach We had joy, we had fun We had seasons in the sun But the wine and the song Like the seasons, have all gone All our lives we had fun We had seasons in the sun But the hills that we climbed Were just seasons out of time We had joy, we had fun We had seasons in the sun@1970
2@2@3@1974@Love's Theme@Love Unlimited Orchestra@ was a@1970
3@3@4@1974@Come And Get Your Love@Redbone@What's the matter with your hair? Yeah Hail (hail) What's the matter with your mind and your sign? And a, oh, oh, oh-a Hail (hail) Nothing the matter with your head baby, find it, come on and find it Hail With it, baby, 'cause you're fine, and you're mine, and you look so divine Come and get your love Come and get your love Come and get your love Come and get your love Hail (hail) What's the matter with you? Feel right Don't you feel right baby? Hail, oh yeah Get it from the main vine, all right I said a-find it, find it Go on and love it if you like it, yeah Hail (hail) It's your business, if you want some, take some Get it together, baby Come and get your love Come and get your love Come and get your love Come and get your love Come and get your love, come and get your love, come and get your love now Come and get your love, come and get your love, come and get your love now Come and get your love, come and get your love, come and get your love now Come and get your love, come and get your love, come and get your love now Come and get your love Come and get your love Come and get your love Come and get your love Hail (hail) What's the matter with you? Feel right Don't you feel right baby? Hail, oh yeah Get it from the main vine, all right La, la, la, la, la, la (Come and get your love) La, la, la, la, la, la (Come and get your love) La, la, la, la, la, la (Come and get your love) La, la, la, la, la, la (Come and get your love) La, la, la, la, la, la, la, la, la (Come and get your love) La, la, la, la, la, la, la, la, la (Come and get your love) La, la, la, la, la, la, (Come and get your love) La, la, la, la, la, la, la, la, la (Come and get your love)@1970
4@4@5@1974@Dancing Machine@Jackson 5@She's a dancing machine Ah baby Move it baby Automatic, Systematic Full of color, self-contained Tuned and channeled to your vibes Captivating, Stimulating She's such a sexy lady Filled with space age design She's moving, she's grooving Dancing until the music stops, now Yeah Rhythmatic, acrobatic She a dynamite attraction At the drop of a coin she comes alive, yeah She knows what she's doing She's super bad now She's geared to really blow your mind Dancing, dancing, dancing She's a dancing machine Ah baby Do it baby Dancing, dancing, dancing She's a dancing machine Ah baby Move it baby She's a dance, dance, dance, dance, dancing machine Watch her get down, watch her get down As she do, do, do her thing Right on the scene She's a dance, dance, dance, dance, dancing machine Watch her get down, watch her get down As she do, do, do her thing Right on the scene Come on baby Come on baby Baby Baby Shake it baby Shake it babe Baby Baby Baby She's a dance, dance, dance, dance, dancing machine Watch her get down, watch her get down As she do, do, do her thing Right on the scene Dance Dance Dance Dance She's a dance, dance, dance, dance, dancing machine Watch her get down, watch her get down As she do, do, do her thing Right on the scene I like it I like it I like it I like it She's a dance, dance, dance, dance, dancing machine Watch her get down, watch her get down As she do, do, do her thing Right on the scene She's a dance, dance, dance, dance, dancing machine Watch her get down, watch her get down@1970
5@5@6@1974@The Loco-Motion@Grand Funk Railroad@I know you'll get to like it if you give it a chance now My little baby sister can do it with ease It's easier than learnin' your ABCs So, come on, come on And do the Loco-Motion with me You've got to swing your hips now Jump up Jump back Oh well, I think you've got the knack Woah, woah Now that you can do it, well let's make a chain now A chuga-chuga motion like a railroad train, now Do it nice and easy now and don't lose control A little bit of rhythm and a lot of soul Well come on, come on And do the Loco-Motion with me Woah, woah Move around the floor in a loco-motion Do it holdin' hands if'n you get the notion There's never been a dance that's so easy to do It even makes you happy when you're feelin' blue So come on, come on And do the Loco-Motion with me So come on, come on And do the Loco-Motion with me So come on, come on And do the Loco-Motion with me (Come on baby, do the Loco-Motion) (Come on baby, do the Loco-Motion) (Come on baby, do the Loco-Motion) (Come on baby, do the Loco-Motion)@1970
6@6@7@1974@TSOP@MFSB@Let's get it on, it's time to get down Let's get it on, it's time to get down Let's get it on, it's time to get down@1970
7@7@8@1974@The Streak@Ray Stevens@"that is news across the nation, on the scene at the supermarket.  There seems to have been some disturbance here.  Pardon me, sir, did you see what happened? Yeah, I did.  I's standin' overe there by the tomaters, and here he come, running through the pole beans, through the fruits and vegetables, nekkid as a jay bird!  And I hollered over t' Ethel, I said, ""Don't look, Ethel!""  But it's too late, she'd already been incensed! Here he comes, (boogity boogity) There he goes, (boogity boogity) And he ain't wearin' no clothes Oh yes, they call him the Streak (boogity boogity) Fastest thing on two feet (boogity boogity) He's just as proud as he can be Of his anatomy He gon' give us a peek Oh, yes, they call him the Streak (boogity boogity) He likes to show off his physique (boogity boogity) If there's an audience to be found He'll be streakin' around Invitin' public critique This is your Action News reporter once again and we're here at the gas station.  Pardon me, sir, did you see what happened? Yeah, I did.  I's just in here gettin my tires checked, he just appeared out of the traffic.  Come streakin' around the grease rack there, didn't have nothin' on but a smile.  I looked in there, and Ethel was gettin' her a cold drink.  I hollered, ""Don't look, Ethel!""  But it was too late.  She'd already been mooned.  Flashed her right there in front of the shock absorbers. He ain't rude, (boogity boogity) He ain't lewd, (boogity boogity) He's just in the mood to run in the nude Oh, yes, they call him the Streak (boogity boogity) He likes to turn the other cheek (boogity boogity) He's always makin' the news Wearin' just his tennis shoes Guess you could call him unique Once again, your Action News reporter in the booth at the gym, covering the disturbance at the basketball playoff.  Pardon me, sir, did you see what happened? Yeah, I did.  Half time, I's just goin' down thar to get Ethel a snow cone.  And here he come, right out of the cheap seats, dribbling, right down the middle of the court.  Didn't have on nothing but his Keds. Made a hook shot and got out through the concessions stand.  I hollered up at Ethel, I said, ""Don't look, Ethel!""  But it was too late.  She'd already got a free shot.  Grandstandin', right there in front of the home team. Oh, yes, they call him the Streak (boogity boogity) The fastest thing on two feet (boogity boogity) He's just as proud as he can be Of his anatomy He gon' give us a peek Here he comes again Who's that with him? Ethel? Is that you, Ethel? What do you think you're doin'? You git your clothes on! Oh, yes, they call him the Streak (boogity boogity) He likes to show off his physique (boogity boogity) If there's an audience to be found He'll be streakin' around Invitin' public critique Ethel! Where you goin'? Ethel, you shameless hussy! Say it isn't so, Ethel! Ethel!"@1970
8@8@9@1974@Bennie And The Jets@Elton John@The spotlight's hitting something That's been known to change the weather We'll kill the fatted calf tonight So stick around You're gonna hear electric music Solid walls of sound Say, Candy and Ronnie, have you seen them yet Ooh, but they're so spaced out Buh, buh, buh, buh, buh, Bennie and the Jets Oh, but they're weird and they're wonderful Oh, Bennie she's really keen She's got electric boots A mohair suit You know I read it in a magazine, oh ho Buh, buh, buh, Bennie and the Jets Hey kids, plug into the faithless Maybe they're blinded But Bennie makes them ageless We shall survive Let us take ourselves along Where we fight our parents out in the streets To find who's right and who's wrong Oh, Candy and Ronnie, have you seen them yet Oh, but they're so spaced out Buh, buh, buh, buh, buh, Bennie and the Jets Oh, but they're weird and they're wonderful Oh Bennie, she's really keen She's got electric boots A mohair suit You know I read it in a magazine, oh ho Buh, buh, buh, Bennie and the Jets Oh, Candy and Ronnie, have you seen them yet Oh, but they're so spaced out Buh, buh, buh, buh, buh, Bennie and the Jets Oh, but they're weird and they're wonderful Oh Bennie, she's really keen She's got electric boots A mohair suit You know I read it in a magazine, oh oh Buh, buh, buh, Bennie and the Jets Bennie, Bennie and the Jets Bennie, Bennie, Bennie, Bennie and the Jets Bennie, Bennie, Bennie, Bennie, Bennie and the Jets Bennie, Bennie, Bennie, Bennie and the Jets Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets Jets, Jets Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets@1970
9@9@10@1974@One Hell Of A Woman@Mac Davis@ When you're perfect in every way. I can't wait to look in the mirror 'Cause I get better loking each day. To know me is to love me I must be a hell of a man. Oh Lord it's hard to be humble But I'm doing the best that I can. I used to have a girlfriend But she just couldn't compete With all of these love starved women Who keep clamoring at my feet. Well I prob'ly could find me another But I guess they're all in awe of me. Who cares, I never get lonesome 'Cause I treasure my own company. Oh Lord it's hard to be humble When you're perfect in every way, I can't wait to look in the mirror 'Cause I get better looking each day To know me is to love me I must be a hell of a man. Oh Lord it's hard to be humble But I'm doing the best that I can. I guess you could say I'm a loner, A cowboy outlaw tough and proud. I could have lots of friends if I want to But then I wouldn't stand out from the crowd. Some folks say that I'm egotistical. Hell, I don't even know what that means. I guess it has something to do with the way that I Fill out my skin tight blue jeans. Oh Lord it's hard to be humble When you're perfect in every way, I can't wait to look in the mirror 'Cause I get better looking each day To know me is to love me I must be a hell of a man. Oh Lord it's hard to be humble But I'm doing the best that I can. We're doing the best that we can@1970
